id,level,order,source_order,curriculum,written,reading,meanings,parts_of_speech,common,examples,provenance
n5-vocab-0167,N5,167,79,"{""genki_lesson"": 7}","{""primary"": ""歌"", ""variants"": [""歌""], ""without_furigana"": ""歌"", ""with_furigana"": ""{歌}(うた)"", ""lookup_text"": ""歌""}","{""primary"": ""うた"", ""variants"": [""うた""], ""source_text"": ""うた""}","[""a song""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""この歌を聞くと私はいつも、学生時代を思い出す。"", ""japanese_furigana"": ""<furigana>この歌を聞くと私はいつも、学生時代を思い出す。</furigana>"", ""english"": ""Whenever I hear this song, I am reminded of my school days."", ""source"": ""tatoeba"", ""source_id"": ""222762""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""JJN9**Hn8A"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1193180"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0168,N5,168,80,"{""genki_lesson"": 7}","{""primary"": ""歌う"", ""variants"": [""歌う""], ""without_furigana"": ""歌う"", ""with_furigana"": ""{歌}(うた)う"", ""lookup_text"": ""歌う""}","{""primary"": ""うたう"", ""variants"": [""うたう""], ""source_text"": ""うたう""}","[""to sing""]","[{""code"": ""v5u"", ""label"": ""Godan verb with 'u' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}, {""code"": ""vi"", ""label"": ""intransitive verb""}]",True,"[{""japanese_raw"": ""ジョンはステージで何を歌いましたか。"", ""japanese_furigana"": ""<furigana>ジョンはステージで何を歌いましたか。</furigana>"", ""english"": ""What did John sing on the stage?"", ""source"": ""tatoeba"", ""source_id"": ""215403""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""AN4yH;7MHR"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1588120"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0169,N5,169,146,"{""genki_lesson"": 7}","{""primary"": ""会社"", ""variants"": [""会社""], ""without_furigana"": ""会社"", ""with_furigana"": ""{会社}(かいしゃ)"", ""lookup_text"": ""会社""}","{""primary"": ""かいしゃ"", ""variants"": [""かいしゃ""], ""source_text"": ""かいしゃ""}","[""company"", ""corporation""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""彼の努力は会社の成長に貢献した。"", ""japanese_furigana"": ""<furigana>彼の努力は会社の成長に貢献した。</furigana>"", ""english"": ""His effort contributed to my company's growth."", ""source"": ""tatoeba"", ""source_id"": ""116443""}, {""japanese_raw"": ""父は今朝普段より遅く会社に着いた。"", ""japanese_furigana"": ""<furigana>父は今朝普段より遅く会社に着いた。</furigana>"", ""english"": ""My father got to his workplace later than usual this morning."", ""source"": ""tatoeba"", ""source_id"": ""84579""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""owc{ezB4?4"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1198550"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0170,N5,170,165,"{""genki_lesson"": 7}","{""primary"": ""家族"", ""variants"": [""家族""], ""without_furigana"": ""家族"", ""with_furigana"": ""{家族}(かぞく)"", ""lookup_text"": ""家族""}","{""primary"": ""かぞく"", ""variants"": [""かぞく""], ""source_text"": ""かぞく""}","[""family"", ""members of a family""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あなたの家族はきっと親切でしょう。"", ""japanese_furigana"": ""<furigana>あなたの家族はきっと親切でしょう。</furigana>"", ""english"": ""Your family must be very nice."", ""source"": ""tatoeba"", ""source_id"": ""233420""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""jwBW:Yf?[N"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1192150"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0171,N5,171,174,"{""genki_lesson"": 7}","{""primary"": ""かぶる"", ""variants"": [""かぶる""], ""without_furigana"": ""かぶる"", ""with_furigana"": ""かぶる"", ""lookup_text"": ""かぶる""}","{""primary"": ""かぶる"", ""variants"": [""かぶる""], ""source_text"": ""かぶる""}","[""to wear"", ""to put on (e.g."", ""a hat on the head)""]","[{""code"": ""v5r"", ""label"": ""Godan verb with 'ru' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}, {""code"": ""vi"", ""label"": ""intransitive verb""}]",True,"[{""japanese_raw"": ""その機械はほこりをかぶっていた。"", ""japanese_furigana"": ""<furigana>その機械はほこりをかぶっていた。</furigana>"", ""english"": ""The machine was coated with dust."", ""source"": ""tatoeba"", ""source_id"": ""211546""}, {""japanese_raw"": ""避難民は食料や水、薬などその他いろいろ不足を被るものだ。"", ""japanese_furigana"": ""<furigana>避難民は食料や水、薬などその他いろいろ不足を被るものだ。</furigana>"", ""english"": ""Refugees will suffer lack of food, water, medicine and all that."", ""source"": ""tatoeba"", ""source_id"": ""85787""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""v~,/++9.ks"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1484330"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0172,N5,172,206,"{""genki_lesson"": 7}","{""primary"": ""兄弟"", ""variants"": [""兄弟""], ""without_furigana"": ""兄弟"", ""with_furigana"": ""{兄弟}(きょうだい)"", ""lookup_text"": ""兄弟""}","{""primary"": ""きょうだい"", ""variants"": [""きょうだい""], ""source_text"": ""きょうだい""}","[""siblings (humble)"", ""brothers and sisters""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""あなたは何人兄弟がいますか。"", ""japanese_furigana"": ""<furigana>あなたは何人兄弟がいますか。</furigana>"", ""english"": ""How many siblings do you have?"", ""source"": ""tatoeba"", ""source_id"": ""232196""}, {""japanese_raw"": ""ライト兄弟はエンジンで動く飛行機を飛ばすことに成功した。"", ""japanese_furigana"": ""<furigana>ライト兄弟はエンジンで動く飛行機を飛ばすことに成功した。</furigana>"", ""english"": ""The Wright brothers succeeded in flying an airplane driven by an engine."", ""source"": ""tatoeba"", ""source_id"": ""192659""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""tg~Kr0A/Mn"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1249960"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0173,N5,173,210,"{""genki_lesson"": 7}","{""primary"": ""着る"", ""variants"": [""着る""], ""without_furigana"": ""着る"", ""with_furigana"": ""{着}(き)る"", ""lookup_text"": ""着る""}","{""primary"": ""きる"", ""variants"": [""きる""], ""source_text"": ""きる""}","[""to put on (clothes above your waist)"", ""to wear""]","[{""code"": ""v1"", ""label"": ""Ichidan verb""}, {""code"": ""vt"", ""label"": ""transitive verb""}]",True,"[{""japanese_raw"": ""その男は反逆者の汚名をきせられた。"", ""japanese_furigana"": ""<furigana>その男は反逆者の汚名をきせられた。</furigana>"", ""english"": ""The man was branded as a traitor."", ""source"": ""tatoeba"", ""source_id"": ""208015""}, {""japanese_raw"": ""「あの赤い服を着るのはよしなさい」「なぜいけないの」"", ""japanese_furigana"": ""<furigana>「あの赤い服を着るのはよしなさい」「なぜいけないの」</furigana>"", ""english"": ""\""You had better not wear the red dress.\"" \""Why not?\"""", ""source"": ""tatoeba"", ""source_id"": ""237263""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""g$-Eqb.V#N"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1423000"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0174,N5,174,223,"{""genki_lesson"": 7}","{""primary"": ""国"", ""variants"": [""国""], ""without_furigana"": ""国"", ""with_furigana"": ""{国}(くに)"", ""lookup_text"": ""国""}","{""primary"": ""くに"", ""variants"": [""くに""], ""source_text"": ""くに""}","[""country"", ""place of origin""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""その王がその国を治めていた。"", ""japanese_furigana"": ""<furigana>その王がその国を治めていた。</furigana>"", ""english"": ""The king governed the country."", ""source"": ""tatoeba"", ""source_id"": ""188508""}, {""japanese_raw"": ""その科学者は国の内外で有名である。"", ""japanese_furigana"": ""<furigana>その科学者は国の内外で有名である。</furigana>"", ""english"": ""The scientist is famous both at home and abroad."", ""source"": ""tatoeba"", ""source_id"": ""212023""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""qu43})1T{b"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1592250"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0175,N5,175,231,"{""genki_lesson"": 7}","{""primary"": ""車"", ""variants"": [""車""], ""without_furigana"": ""車"", ""with_furigana"": ""{車}(くるま)"", ""lookup_text"": ""車""}","{""primary"": ""くるま"", ""variants"": [""くるま""], ""source_text"": ""くるま""}","[""car"", ""vehicle""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""車を運転する時はいくら注意してもしすぎることはない。"", ""japanese_furigana"": ""<furigana>車を運転する時はいくら注意してもしすぎることはない。</furigana>"", ""english"": ""You cannot be too careful when you drive a car."", ""source"": ""tatoeba"", ""source_id"": ""148966""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""Dp50G3U@L="", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1323080"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0176,N5,176,322,"{""genki_lesson"": 7}","{""primary"": ""食堂"", ""variants"": [""食堂""], ""without_furigana"": ""食堂"", ""with_furigana"": ""{食堂}(しょくどう)"", ""lookup_text"": ""食堂""}","{""primary"": ""しょくどう"", ""variants"": [""しょくどう""], ""source_text"": ""しょくどう""}","[""cafeteria"", ""dining hall""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""私達の家は食堂を含めて７部屋あります。"", ""japanese_furigana"": ""<furigana>私達の家は食堂を含めて７部屋あります。</furigana>"", ""english"": ""Our house has seven rooms including the dining room."", ""source"": ""tatoeba"", ""source_id"": ""151991""}, {""japanese_raw"": ""私は角を曲がって、開店早々の食堂を見つけた。"", ""japanese_furigana"": ""<furigana>私は角を曲がって、開店早々の食堂を見つけた。</furigana>"", ""english"": ""I turned the corner and caught sight of a newly opened restaurant."", ""source"": ""tatoeba"", ""source_id"": ""157887""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""q/e+PknS.X"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1358550"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0177,N5,177,323,"{""genki_lesson"": 7}","{""primary"": ""知る"", ""variants"": [""知る""], ""without_furigana"": ""知る"", ""with_furigana"": ""{知}(し)る"", ""lookup_text"": ""知る""}","{""primary"": ""しる"", ""variants"": [""しる""], ""source_text"": ""しる""}","[""to know"", ""to understand""]","[{""code"": ""v5r"", ""label"": ""Godan verb with 'ru' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}]",True,"[{""japanese_raw"": ""あなたは１９９０年から彼女を知っているのですか？"", ""japanese_furigana"": ""<furigana>あなたは１９９０年から彼女を知っているのですか？</furigana>"", ""english"": ""Have you known her since 1990?"", ""source"": ""tatoeba"", ""source_id"": ""232897""}, {""japanese_raw"": ""私は自分が感じたことを言えるのが必要であることを知った。"", ""japanese_furigana"": ""<furigana>私は自分が感じたことを言えるのが必要であることを知った。</furigana>"", ""english"": ""I find it necessary to be able to say what I feel."", ""source"": ""tatoeba"", ""source_id"": ""156309""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""jmoS>4h`&Q"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1420470"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0178,N5,178,406,"{""genki_lesson"": 7}","{""primary"": ""父"", ""variants"": [""父""], ""without_furigana"": ""父"", ""with_furigana"": ""{父}(ちち)"", ""lookup_text"": ""父""}","{""primary"": ""ちち"", ""variants"": [""ちち""], ""source_text"": ""ちち""}","[""(my) father""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""私の父は大の旅行好きです。"", ""japanese_furigana"": ""<furigana>私の父は大の旅行好きです。</furigana>"", ""english"": ""My father is a great traveler."", ""source"": ""tatoeba"", ""source_id"": ""162800""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""QKI#T(oT`t"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1497610"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0179,N5,179,480,"{""genki_lesson"": 7}","{""primary"": ""長い"", ""variants"": [""長い""], ""without_furigana"": ""長い"", ""with_furigana"": ""{長}(なが)い"", ""lookup_text"": ""長い""}","{""primary"": ""ながい"", ""variants"": [""ながい""], ""source_text"": ""ながい""}","[""long"", ""lengthy""]","[{""code"": ""adj-i"", ""label"": ""adjective (keiyoushi)""}]",True,"[{""japanese_raw"": ""彼に長い手紙を書いた。"", ""japanese_furigana"": ""<furigana>彼に長い手紙を書いた。</furigana>"", ""english"": ""I wrote a long letter to him."", ""source"": ""tatoeba"", ""source_id"": ""118529""}, {""japanese_raw"": ""これは日本で２番目に長い川だ。"", ""japanese_furigana"": ""<furigana>これは日本で２番目に長い川だ。</furigana>"", ""english"": ""This is the second longest river in Japan."", ""source"": ""tatoeba"", ""source_id"": ""218166""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""EHO`14{d-("", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1429750"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0180,N5,180,524,"{""genki_lesson"": 7}","{""primary"": ""はく"", ""variants"": [""はく""], ""without_furigana"": ""はく"", ""with_furigana"": ""はく"", ""lookup_text"": ""はく""}","{""primary"": ""はく"", ""variants"": [""はく""], ""source_text"": ""はく""}","[""to put on (items below your waist)""]","[{""code"": ""v5k"", ""label"": ""Godan verb with 'ku' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}]",True,"[{""japanese_raw"": ""お前は床を掃きさえすればよい。"", ""japanese_furigana"": ""<furigana>お前は床を掃きさえすればよい。</furigana>"", ""english"": ""You have only to sweep the floor."", ""source"": ""tatoeba"", ""source_id"": ""226930""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""oRjJ`o{id)"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1399760"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0181,N5,181,544,"{""genki_lesson"": 7}","{""primary"": ""速い"", ""variants"": [""速い""], ""without_furigana"": ""速い"", ""with_furigana"": ""{速}(はや)い"", ""lookup_text"": ""速い""}","{""primary"": ""はやい"", ""variants"": [""はやい""], ""source_text"": ""はやい""}","[""fast"", ""quick""]","[{""code"": ""adj-i"", ""label"": ""adjective (keiyoushi)""}]",True,"[{""japanese_raw"": ""子供は成長が早い。"", ""japanese_furigana"": ""<furigana>子供は成長が早い。</furigana>"", ""english"": ""Children grow very quickly."", ""source"": ""tatoeba"", ""source_id"": ""168525""}, {""japanese_raw"": ""あれは世界で最も速い電車です。"", ""japanese_furigana"": ""<furigana>あれは世界で最も速い電車です。</furigana>"", ""english"": ""That is the fastest train in the world."", ""source"": ""tatoeba"", ""source_id"": ""229691""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""pfU@DZ;h3^"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1404975"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0182,N5,182,567,"{""genki_lesson"": 7}","{""primary"": ""一人"", ""variants"": [""一人""], ""without_furigana"": ""一人"", ""with_furigana"": ""{一人}(ひとり)"", ""lookup_text"": ""一人""}","{""primary"": ""ひとり"", ""variants"": [""ひとり""], ""source_text"": ""ひとり""}","[""one person""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""adv"", ""label"": ""adverb (fukushi)""}]",True,"[{""japanese_raw"": ""私は一人の弟がいます。"", ""japanese_furigana"": ""<furigana>私は一人の弟がいます。</furigana>"", ""english"": ""I have one brother."", ""source"": ""tatoeba"", ""source_id"": ""158458""}, {""japanese_raw"": ""彼はひとりになると即座にその手紙を開いた。"", ""japanese_furigana"": ""<furigana>彼はひとりになると即座にその手紙を開いた。</furigana>"", ""english"": ""The moment that he was alone he opened the letter."", ""source"": ""tatoeba"", ""source_id"": ""111122""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""rOUMQ8LZ5<"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1576150"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0183,N5,183,584,"{""genki_lesson"": 7}","{""primary"": ""二人"", ""variants"": [""二人""], ""without_furigana"": ""二人"", ""with_furigana"": ""{二人}(ふたり)"", ""lookup_text"": ""二人""}","{""primary"": ""ふたり"", ""variants"": [""ふたり""], ""source_text"": ""ふたり""}","[""two people""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""二人の男は刑務所から釈放された。"", ""japanese_furigana"": ""<furigana>二人の男は刑務所から釈放された。</furigana>"", ""english"": ""The two men were released from jail."", ""source"": ""tatoeba"", ""source_id"": ""123087""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""yRF#3ntAGH"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1582670"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0184,N5,184,637,"{""genki_lesson"": 7}","{""primary"": ""短い"", ""variants"": [""短い""], ""without_furigana"": ""短い"", ""with_furigana"": ""{短}(みじか)い"", ""lookup_text"": ""短い""}","{""primary"": ""みじかい"", ""variants"": [""みじかい""], ""source_text"": ""みじかい""}","[""short (length)""]","[{""code"": ""adj-i"", ""label"": ""adjective (keiyoushi)""}]",True,"[{""japanese_raw"": ""あの犬はしっぽが短い。"", ""japanese_furigana"": ""<furigana>あの犬はしっぽが短い。</furigana>"", ""english"": ""That dog has a short tail."", ""source"": ""tatoeba"", ""source_id"": ""231055""}, {""japanese_raw"": ""彼は私に短い手紙をくれた。"", ""japanese_furigana"": ""<furigana>彼は私に短い手紙をくれた。</furigana>"", ""english"": ""He sent me a brief note."", ""source"": ""tatoeba"", ""source_id"": ""106004""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""CoDv|eMw1>"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1418620"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0185,N5,185,655,"{""genki_lesson"": 7}","{""primary"": ""目"", ""variants"": [""目""], ""without_furigana"": ""目"", ""with_furigana"": ""{目}(め)"", ""lookup_text"": ""目""}","{""primary"": ""め"", ""variants"": [""め""], ""source_text"": ""め""}","[""eye(s)""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}, {""code"": ""suf"", ""label"": ""suffix""}]",True,"[{""japanese_raw"": ""彼は崇拝の眼で彼女を眺めた。"", ""japanese_furigana"": ""<furigana>彼は崇拝の眼で彼女を眺めた。</furigana>"", ""english"": ""He regarded her with worship in his eyes."", ""source"": ""tatoeba"", ""source_id"": ""103471""}, {""japanese_raw"": ""彼女はきれいな目をしている。"", ""japanese_furigana"": ""<furigana>彼女はきれいな目をしている。</furigana>"", ""english"": ""She has beautiful eyes."", ""source"": ""tatoeba"", ""source_id"": ""92969""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""dhfW}%pIM+"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1604890"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0186,N5,186,657,"{""genki_lesson"": 7}","{""primary"": ""眼鏡"", ""variants"": [""眼鏡""], ""without_furigana"": ""眼鏡"", ""with_furigana"": ""{眼鏡}(めがね)"", ""lookup_text"": ""眼鏡""}","{""primary"": ""めがね"", ""variants"": [""めがね""], ""source_text"": ""めがね""}","[""eye glasses""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""私はメガネがなくては読めない。"", ""japanese_furigana"": ""<furigana>私はメガネがなくては読めない。</furigana>"", ""english"": ""I cannot read without glasses."", ""source"": ""tatoeba"", ""source_id"": ""158805""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""OGc^3PJcd3"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1577670"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0187,N5,187,37,"{""genki_lesson"": 8}","{""primary"": ""雨"", ""variants"": [""雨""], ""without_furigana"": ""雨"", ""with_furigana"": ""{雨}(あめ)"", ""lookup_text"": ""雨""}","{""primary"": ""あめ"", ""variants"": [""あめ""], ""source_text"": ""あめ""}","[""rain""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""雨のために彼らは気力をそがれた。"", ""japanese_furigana"": ""<furigana>雨のために彼らは気力をそがれた。</furigana>"", ""english"": ""The rain dampened their spirits."", ""source"": ""tatoeba"", ""source_id"": ""189587""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""PaXlv})<8_"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1171900"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0188,N5,188,39,"{""genki_lesson"": 8}","{""primary"": ""洗う"", ""variants"": [""洗う""], ""without_furigana"": ""洗う"", ""with_furigana"": ""{洗}(あら)う"", ""lookup_text"": ""洗う""}","{""primary"": ""あらう"", ""variants"": [""あらう""], ""source_text"": ""あらう""}","[""to wash""]","[{""code"": ""v5u"", ""label"": ""Godan verb with 'u' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}]",True,"[{""japanese_raw"": ""そのバッグを洗うときは洗濯機に入れないでください。"", ""japanese_furigana"": ""<furigana>そのバッグを洗うときは洗濯機に入れないでください。</furigana>"", ""english"": ""When you wash the bag, please do not put it in the washing machine."", ""source"": ""tatoeba"", ""source_id"": ""212725""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""H=[cc$xhzR"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1390930"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0189,N5,189,46,"{""genki_lesson"": 8}","{""primary"": ""言う"", ""variants"": [""言う""], ""without_furigana"": ""言う"", ""with_furigana"": ""{言}(い)う"", ""lookup_text"": ""言う""}","{""primary"": ""いう"", ""variants"": [""いう""], ""source_text"": ""いう""}","[""to say""]","[{""code"": ""v5u"", ""label"": ""Godan verb with 'u' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}, {""code"": ""vi"", ""label"": ""intransitive verb""}]",True,"[{""japanese_raw"": ""この動物は日本語で何と言いますか。"", ""japanese_furigana"": ""<furigana>この動物は日本語で何と言いますか。</furigana>"", ""english"": ""What do you call this animal in Japanese?"", ""source"": ""tatoeba"", ""source_id"": ""220315""}, {""japanese_raw"": ""「みんなひと休みしようぜ」とジョンは言った。"", ""japanese_furigana"": ""<furigana>「みんなひと休みしようぜ」とジョンは言った。</furigana>"", ""english"": ""John said, \""Hey guys, let's take a break.\"""", ""source"": ""tatoeba"", ""source_id"": ""236431""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""iurNhMLEpv"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1587040"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0190,N5,190,176,"{""genki_lesson"": 8}","{""primary"": ""カメラ"", ""variants"": [""カメラ""], ""without_furigana"": ""カメラ"", ""with_furigana"": ""カメラ"", ""lookup_text"": ""カメラ""}","{""primary"": ""カメラ"", ""variants"": [""カメラ""], ""source_text"": ""カメラ""}","[""camera""]","[{""code"": ""n"", ""label"": ""noun (common) (futsuumeishi)""}]",True,"[{""japanese_raw"": ""おじさんがぼくにカメラをくれました。"", ""japanese_furigana"": ""<furigana>おじさんがぼくにカメラをくれました。</furigana>"", ""english"": ""My uncle gave me a camera."", ""source"": ""tatoeba"", ""source_id"": ""227734""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""m@gkXGnk1!"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1038350"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
n5-vocab-0191,N5,191,209,"{""genki_lesson"": 8}","{""primary"": ""切る"", ""variants"": [""切る""], ""without_furigana"": ""切る"", ""with_furigana"": ""{切}(き)る"", ""lookup_text"": ""切る""}","{""primary"": ""きる"", ""variants"": [""きる""], ""source_text"": ""きる""}","[""to cut"", ""to hang up (a phone)""]","[{""code"": ""v5r"", ""label"": ""Godan verb with 'ru' ending""}, {""code"": ""vt"", ""label"": ""transitive verb""}, {""code"": ""suf"", ""label"": ""suffix""}]",True,"[{""japanese_raw"": ""２．大根は拍子木に切る。"", ""japanese_furigana"": ""<furigana>２．大根は拍子木に切る。</furigana>"", ""english"": ""2. Cut the daikon into long sticks."", ""source"": ""tatoeba"", ""source_id"": ""235603""}, {""japanese_raw"": ""トランプをよく切ってください。"", ""japanese_furigana"": ""<furigana>トランプをよく切ってください。</furigana>"", ""english"": ""Please shuffle the cards carefully."", ""source"": ""tatoeba"", ""source_id"": ""199708""}]","{""level_map"": ""open-anki-jlpt-decks"", ""level_map_guid"": ""A;e]B2v]77"", ""dictionary"": ""JMdict"", ""dictionary_entry_id"": ""1384830"", ""dictionary_lookup_aliases"": [], ""examples"": ""JMdict sense-linked Tatoeba examples""}"
